Date,Category,Amount,Description
2024-01-01,Salary,3155.0,Salary expense
2024-01-01,Rent,919.22,Rent expense
2024-01-01,Groceries,377.93,Groceries expense
2024-01-01,Utilities,600.76,Utilities expense
2024-01-01,Entertainment,350.34,Entertainment expense
2024-01-01,Savings,528.49,Savings expense
2024-01-31,Salary,4530.73,Salary expense
2024-01-31,Rent,469.01,Rent expense
2024-01-31,Groceries,880.9,Groceries expense
2024-01-31,Utilities,630.47,Utilities expense
2024-01-31,Entertainment,632.06,Entertainment expense
2024-01-31,Savings,1023.65,Savings expense
2024-03-01,Salary,4088.02,Salary expense
2024-03-01,Rent,678.84,Rent expense
2024-03-01,Groceries,735.01,Groceries expense
2024-03-01,Utilities,672.23,Utilities expense
2024-03-01,Entertainment,334.29,Entertainment expense
2024-03-01,Savings,1043.25,Savings expense
2024-03-31,Salary,3743.58,Salary expense
2024-03-31,Rent,783.83,Rent expense
2024-03-31,Groceries,794.19,Groceries expense
2024-03-31,Utilities,770.18,Utilities expense
2024-03-31,Entertainment,664.51,Entertainment expense
2024-03-31,Savings,1154.54,Savings expense
2024-04-30,Salary,3742.5,Salary expense
2024-04-30,Rent,132.51,Rent expense
2024-04-30,Groceries,118.56,Groceries expense
2024-04-30,Utilities,800.82,Utilities expense
2024-04-30,Entertainment,142.62,Entertainment expense
2024-04-30,Savings,1234.2,Savings expense
2024-05-30,Salary,4982.64,Salary expense
2024-05-30,Rent,171.7,Rent expense
2024-05-30,Groceries,766.31,Groceries expense
2024-05-30,Utilities,763.73,Utilities expense
2024-05-30,Entertainment,472.59,Entertainment expense
2024-05-30,Savings,1295.69,Savings expense
2024-06-29,Salary,3747.36,Salary expense
2024-06-29,Rent,229.07,Rent expense
2024-06-29,Groceries,857.85,Groceries expense
2024-06-29,Utilities,463.23,Utilities expense
2024-06-29,Entertainment,371.62,Entertainment expense
2024-06-29,Savings,712.84,Savings expense
2024-07-29,Salary,3625.83,Salary expense
2024-07-29,Rent,545.82,Rent expense
2024-07-29,Groceries,410.13,Groceries expense
2024-07-29,Utilities,816.55,Utilities expense
2024-07-29,Entertainment,462.17,Entertainment expense
2024-07-29,Savings,680.87,Savings expense
2024-08-28,Salary,4144.86,Salary expense
2024-08-28,Rent,849.86,Rent expense
2024-08-28,Groceries,242.63,Groceries expense
2024-08-28,Utilities,830.01,Utilities expense
2024-08-28,Entertainment,773.33,Entertainment expense
2024-08-28,Savings,1173.92,Savings expense
2024-09-27,Salary,4252.97,Salary expense
2024-09-27,Rent,754.13,Rent expense
2024-09-27,Groceries,494.05,Groceries expense
2024-09-27,Utilities,611.73,Utilities expense
2024-09-27,Entertainment,440.71,Entertainment expense
2024-09-27,Savings,758.35,Savings expense
2024-10-27,Salary,4831.07,Salary expense
2024-10-27,Rent,491.83,Rent expense
2024-10-27,Groceries,782.22,Groceries expense
2024-10-27,Utilities,568.94,Utilities expense
2024-10-27,Entertainment,428.22,Entertainment expense
2024-10-27,Savings,788.42,Savings expense
2024-11-26,Salary,3444.38,Salary expense
2024-11-26,Rent,900.68,Rent expense
2024-11-26,Groceries,103.86,Groceries expense
2024-11-26,Utilities,432.75,Utilities expense
2024-11-26,Entertainment,874.99,Entertainment expense
2024-11-26,Savings,1402.79,Savings expense
